CCTV,#genre#
CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221226060/index.m3u8
CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221226075/index.m3u8
CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221226099/index.m3u8
CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221225550/index.m3u8
CCTV-1,http://39.134.66.4/PLTV/88888888/224/3221226117/index.m3u8
CCTV-2,http://39.134.66.4/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3,http://39.134.66.4/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4,http://39.134.66.4/PLTV/88888888/224/3221226092/index.m3u8
CCTV-4,http://39.134.66.4/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5,http://39.135.135.4/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+,http://39.134.66.4/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6,http://39.135.135.4/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7,http://39.134.66.4/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8,http://39.134.66.4/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10,http://39.134.66.46/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10,http://39.134.66.4/PLTV/88888888/224/3221226128/index.m3u8
CCTV-11,http://39.134.66.46/PLTV/88888888/224/3221225517/index.m3u8
CCTV-11,http://39.134.66.4/PLTV/88888888/224/3221226123/index.m3u8
CCTV-12,http://39.134.66.46/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12,http://39.134.66.4/PLTV/88888888/224/3221226130/index.m3u8
CCTV-13,http://39.134.66.46/PLTV/88888888/224/3221225812/index.m3u8
CCTV-13,http://39.134.66.4/PLTV/88888888/224/3221226077/index.m3u8
CCTV-13,http://39.134.66.4/PLTV/88888888/224/3221226125/index.m3u8
CCTV-14,http://39.134.66.4/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14,http://39.134.66.4/PLTV/88888888/224/3221226132/index.m3u8
CCTV-15,http://39.134.66.46/PLTV/88888888/224/3221225513/index.m3u8
CCTV-15,http://39.134.66.4/PLTV/88888888/224/3221226127/index.m3u8
CCTV-16,http://39.134.66.46/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17,http://39.134.66.4/PLTV/88888888/224/3221225708/index.m3u8
卫视,#genre#
辽宁卫视,http://39.134.66.4/PLTV/88888888/224/3221225499/index.m3u8
辽宁卫视,http://39.134.66.4/PLTV/88888888/224/3221226089/index.m3u8
北京卫视,http://39.135.135.46/PLTV/88888888/224/3221225678/index.m3u8
北京卡酷标清,http://39.134.66.4/PLTV/88888888/224/3221225562/index.m3u8
北京纪实,http://39.134.66.4/PLTV/88888888/224/3221225670/index.m3u8
天津卫视,http://39.134.66.4/PLTV/88888888/224/3221225665/index.m3u8
湖南卫视,http://39.134.66.4/PLTV/88888888/224/3221225506/index.m3u8
江苏卫视,http://39.134.66.4/PLTV/88888888/224/3221225503/index.m3u8
东方卫视,http://39.134.66.4/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.66.46/PLTV/88888888/224/3221225942/index.m3u8
浙江卫视,http://39.134.66.46/PLTV/88888888/224/3221225514/index.m3u8
东南卫视,http://39.134.66.4/PLTV/88888888/224/3221225500/index.m3u8
东南卫视,http://39.134.66.4/PLTV/88888888/224/3221225950/index.m3u8
重庆卫视,http://39.134.66.4/PLTV/88888888/224/3221225502/index.m3u8
广西卫视,http://39.134.66.4/PLTV/88888888/224/3221226091/index.m3u8
深圳卫视,http://39.134.66.4/PLTV/88888888/224/3221225668/index.m3u8
电影/电视剧/综艺,#genre#
东北热剧,http://39.134.66.4/PLTV/88888888/224/3221225679/index.m3u8
精品萌宠,http://39.134.66.4/PLTV/88888888/224/3221226051/index.m3u8
金牌综艺,http://39.134.66.4/PLTV/88888888/224/3221225525/index.m3u8
精品大剧,http://39.134.66.4/PLTV/88888888/224/3221225536/index.m3u8
潮妈辣婆,http://39.134.66.4/PLTV/88888888/224/3221225542/index.m3u8
精品记录,http://39.134.66.4/PLTV/88888888/224/3221225545/index.m3u8
农业致富,http://39.134.66.4/PLTV/88888888/224/3221225552/index.m3u8
哒啵赛事,http://39.134.66.4/PLTV/88888888/224/3221225559/index.m3u8
军旅剧场,http://39.134.66.4/PLTV/88888888/224/3221225560/index.m3u8
中国功夫,http://39.134.66.4/PLTV/88888888/224/3221225604/index.m3u8
纪实人文,http://39.134.66.4/PLTV/88888888/224/3221225673/index.m3u8
炫舞未来,http://39.134.66.4/PLTV/88888888/224/3221225646/index.m3u8
超级电视剧,http://39.134.66.4/PLTV/88888888/224/3221225637/index.m3u8
超级综艺,http://39.134.66.4/PLTV/88888888/224/3221225642/index.m3u8
超级电影,http://39.134.66.4/PLTV/88888888/224/3221225644/index.m3u8
超级体育,http://39.134.66.4/PLTV/88888888/224/3221225635/index.m3u8
黑莓电影,http://39.135.135.46/PLTV/88888888/224/3221225681/index.m3u8
欢乐剧场,http://39.135.135.46/PLTV/88888888/224/3221225682/index.m3u8
咪咕视频,#genre#
咪咕精彩足球,http://39.134.66.46/PLTV/88888888/224/3221225895/index.m3u8
咪咕综合体育,http://39.134.66.46/PLTV/88888888/224/3221225897/index.m3u8
咪咕视频1,http://39.134.66.4/PLTV/88888888/224/3221225620/index.m3u8
咪咕视频2,http://39.134.66.4/PLTV/88888888/224/3221225901/index.m3u8
咪咕视频3,http://39.134.66.4/PLTV/88888888/224/3221225914/index.m3u8
咪咕视频4,http://39.134.66.4/PLTV/88888888/224/3221226027/index.m3u8
咪咕视频5,http://39.134.66.4/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频7,http://39.134.66.4/PLTV/88888888/224/3221225617/index.m3u8
咪咕视频8,http://39.134.66.4/PLTV/88888888/224/3221225619/index.m3u8
咪咕视频9,http://39.134.66.4/PLTV/88888888/224/3221225639/index.m3u8
咪咕视频10,http://39.134.66.4/PLTV/88888888/224/3221225641/index.m3u8
咪咕视频11,http://39.134.66.4/PLTV/88888888/224/3221225643/index.m3u8
咪咕视频12,http://39.134.66.4/PLTV/88888888/224/3221225645/index.m3u8
咪咕视频13,http://39.134.66.4/PLTV/88888888/224/3221225647/index.m3u8
咪咕视频14,http://39.134.66.4/PLTV/88888888/224/3221225648/index.m3u8
咪咕视频15,http://39.134.66.4/PLTV/88888888/224/3221225649/index.m3u8
咪咕视频16,http://39.134.66.4/PLTV/88888888/224/3221225650/index.m3u8
咪咕视频17,http://39.134.66.4/PLTV/88888888/224/3221225652/index.m3u8
咪咕视频18,http://39.134.66.4/PLTV/88888888/224/3221225653/index.m3u8
咪咕视频19,http://39.134.66.4/PLTV/88888888/224/3221225654/index.m3u8
咪咕视频20,http://39.134.66.4/PLTV/88888888/224/3221225658/index.m3u8
咪咕视频21,http://39.134.66.4/PLTV/88888888/224/3221225660/index.m3u8
咪咕视频22,http://39.134.66.4/PLTV/88888888/224/3221225662/index.m3u8
咪咕视频24,http://39.134.66.4/PLTV/88888888/224/3221226046/index.m3u8
咪咕视频25,http://39.134.66.46/PLTV/88888888/224/3221225899/index.m3u8
